Dataset,BaseLearner,PredictionType,Algorithm,Metric,Noise,Value
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,hamming_accuracy,0.0,0.1750±0.0017
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,hamming_accuracy,0.0,0.1755±0.0019
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,hamming_accuracy,0.0,0.1742±0.0017
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,hamming_accuracy,0.0,0.1749±0.0019
chestxray_densenet,LGBM,BinaryVector,br,hamming_accuracy,0.0,0.7943±0.0035
chestxray_densenet,LGBM,BinaryVector,cc,hamming_accuracy,0.0,0.7762±0.0037
chestxray_densenet,LGBM,BinaryVector,clr,hamming_accuracy,0.0,0.8494±0.0029
chestxray_densenet,LGBM,BinaryVector,ecc,hamming_accuracy,0.0,0.8234±0.0033
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,hamming_accuracy,0.1,0.1474±0.0034
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,hamming_accuracy,0.1,0.1473±0.0033
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,hamming_accuracy,0.1,0.1474±0.0034
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,hamming_accuracy,0.1,0.1472±0.0033
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,hamming_accuracy,0.1,0.1766±0.0043
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,hamming_accuracy,0.1,0.1761±0.0042
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,hamming_accuracy,0.1,0.1764±0.0044
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,hamming_accuracy,0.1,0.1759±0.0042
chestxray_densenet,LGBM,BinaryVector,br,hamming_accuracy,0.1,0.7231±0.0032
chestxray_densenet,LGBM,BinaryVector,cc,hamming_accuracy,0.1,0.7156±0.0061
chestxray_densenet,LGBM,BinaryVector,clr,hamming_accuracy,0.1,0.8440±0.0021
chestxray_densenet,LGBM,BinaryVector,ecc,hamming_accuracy,0.1,0.7862±0.0027
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,hamming_accuracy,0.2,0.1455±0.0022
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,hamming_accuracy,0.2,0.1453±0.0022
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,hamming_accuracy,0.2,0.1455±0.0022
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,hamming_accuracy,0.2,0.1452±0.0022
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,hamming_accuracy,0.2,0.2053±0.0033
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,hamming_accuracy,0.2,0.2040±0.0031
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,hamming_accuracy,0.2,0.2051±0.0034
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,hamming_accuracy,0.2,0.2037±0.0032
chestxray_densenet,LGBM,BinaryVector,br,hamming_accuracy,0.2,0.6668±0.0035
chestxray_densenet,LGBM,BinaryVector,cc,hamming_accuracy,0.2,0.6664±0.0021
chestxray_densenet,LGBM,BinaryVector,clr,hamming_accuracy,0.2,0.8521±0.0013
chestxray_densenet,LGBM,BinaryVector,ecc,hamming_accuracy,0.2,0.7359±0.0041
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,hamming_accuracy,0.3,0.1498±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,hamming_accuracy,0.3,0.1495±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,hamming_accuracy,0.3,0.1498±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,hamming_accuracy,0.3,0.1495±0.0024
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,hamming_accuracy,0.3,0.2713±0.0057
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,hamming_accuracy,0.3,0.2667±0.0051
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,hamming_accuracy,0.3,0.2712±0.0060
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,hamming_accuracy,0.3,0.2662±0.0051
chestxray_densenet,LGBM,BinaryVector,br,hamming_accuracy,0.3,0.6134±0.0020
chestxray_densenet,LGBM,BinaryVector,cc,hamming_accuracy,0.3,0.6130±0.0013
chestxray_densenet,LGBM,BinaryVector,clr,hamming_accuracy,0.3,0.8575±0.0016
chestxray_densenet,LGBM,BinaryVector,ecc,hamming_accuracy,0.3,0.6553±0.0013
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,jaccard,0.0,0.1172±0.0018
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,jaccard,0.0,0.1172±0.0018
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,jaccard,0.0,0.1172±0.0018
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,jaccard,0.0,0.1172±0.0018
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,jaccard,0.0,0.1178±0.0010
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,jaccard,0.0,0.1183±0.0012
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,jaccard,0.0,0.1175±0.0009
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,jaccard,0.0,0.1181±0.0011
chestxray_densenet,LGBM,BinaryVector,br,jaccard,0.0,0.3492±0.0050
chestxray_densenet,LGBM,BinaryVector,cc,jaccard,0.0,0.3525±0.0047
chestxray_densenet,LGBM,BinaryVector,clr,jaccard,0.0,0.4151±0.0098
chestxray_densenet,LGBM,BinaryVector,ecc,jaccard,0.0,0.3956±0.0052
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,jaccard,0.1,0.1124±0.0017
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,jaccard,0.1,0.1123±0.0017
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,jaccard,0.1,0.1124±0.0017
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,jaccard,0.1,0.1123±0.0017
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,jaccard,0.1,0.1160±0.0020
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,jaccard,0.1,0.1158±0.0021
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,jaccard,0.1,0.1158±0.0020
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,jaccard,0.1,0.1157±0.0021
chestxray_densenet,LGBM,BinaryVector,br,jaccard,0.1,0.2618±0.0050
chestxray_densenet,LGBM,BinaryVector,cc,jaccard,0.1,0.2621±0.0069
chestxray_densenet,LGBM,BinaryVector,clr,jaccard,0.1,0.3971±0.0089
chestxray_densenet,LGBM,BinaryVector,ecc,jaccard,0.1,0.3381±0.0094
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,jaccard,0.2,0.1097±0.0014
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,jaccard,0.2,0.1096±0.0014
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,jaccard,0.2,0.1097±0.0014
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,jaccard,0.2,0.1096±0.0014
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,jaccard,0.2,0.1170±0.0019
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,jaccard,0.2,0.1167±0.0015
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,jaccard,0.2,0.1169±0.0020
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,jaccard,0.2,0.1167±0.0015
chestxray_densenet,LGBM,BinaryVector,br,jaccard,0.2,0.1961±0.0061
chestxray_densenet,LGBM,BinaryVector,cc,jaccard,0.2,0.1933±0.0028
chestxray_densenet,LGBM,BinaryVector,clr,jaccard,0.2,0.3948±0.0053
chestxray_densenet,LGBM,BinaryVector,ecc,jaccard,0.2,0.2662±0.0098
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,jaccard,0.3,0.1078±0.0015
