Dataset,Prediction_Type,Metric,Noise_Level,Best_Algorithm,Best_Value,Worst_Algorithm,Worst_Value,Range
CHD_49,BinaryVector,f1,0.1,PreOrder__Hamming__None,0.6575,clr,0.4616,0.19589999999999996
CHD_49,BinaryVector,f1,0.2,PreOrder__Hamming__None,0.6467,clr,0.4384,0.20830000000000004
CHD_49,BinaryVector,f1,0.3,PreOrder__Hamming__None,0.6073,clr,0.3161,0.29119999999999996
CHD_49,BinaryVector,subset0_1,0.0,PartialOrder__Subset__2,0.2036,clr,0.0847,0.1189
CHD_49,BinaryVector,subset0_1,0.1,cc,0.1712,clr,0.0694,0.10179999999999999
CHD_49,BinaryVector,subset0_1,0.2,PreOrder__Hamming__2,0.127,clr,0.0739,0.05310000000000001
CHD_49,BinaryVector,subset0_1,0.3,PreOrder__Hamming__2,0.0766,clr,0.0396,0.037
HumanPseAAC,BinaryVector,hamming_accuracy,0.0,cc,0.9184,PartialOrder__Hamming__2,0.2029,0.7155
HumanPseAAC,BinaryVector,hamming_accuracy,0.1,cc,0.9177,PartialOrder__Hamming__2,0.1763,0.7414
HumanPseAAC,BinaryVector,hamming_accuracy,0.2,br,0.9167,PartialOrder__Subset__None,0.1556,0.7611
HumanPseAAC,BinaryVector,hamming_accuracy,0.3,clr,0.9158,PartialOrder__Hamming__None,0.1489,0.7668999999999999
HumanPseAAC,BinaryVector,f1,0.0,PartialOrder__Hamming__None,0.1934,clr,0.0,0.1934
HumanPseAAC,BinaryVector,f1,0.1,PreOrder__Hamming__None,0.1859,clr,0.012,0.1739
HumanPseAAC,BinaryVector,f1,0.2,PreOrder__Hamming__None,0.1892,clr,0.019,0.17020000000000002
HumanPseAAC,BinaryVector,f1,0.3,PreOrder__Hamming__None,0.2027,clr,0.019,0.1837
HumanPseAAC,BinaryVector,subset0_1,0.0,cc,0.0782,clr,0.0,0.0782
HumanPseAAC,BinaryVector,subset0_1,0.1,cc,0.0723,PartialOrder__Hamming__2,0.0098,0.0625
HumanPseAAC,BinaryVector,subset0_1,0.2,cc,0.0786,PartialOrder__Hamming__2,0.0011,0.0775
HumanPseAAC,BinaryVector,subset0_1,0.3,cc,0.0958,PartialOrder__Hamming__2,0.0,0.0958
CHD_49,PartialAbstention,hamming_accuracy_pa,0.0,PartialOrder__Hamming__None,0.7219,PreOrder__Subset__2,0.7056,0.01629999999999998
CHD_49,PartialAbstention,hamming_accuracy_pa,0.1,PartialOrder__Subset__2,0.7149,PreOrder__Subset__2,0.691,0.023900000000000032
CHD_49,PartialAbstention,hamming_accuracy_pa,0.2,PartialOrder__Hamming__2,0.7052,PreOrder__Subset__None,0.6769,0.028300000000000103
CHD_49,PartialAbstention,hamming_accuracy_pa,0.3,PartialOrder__Hamming__None,0.6575,PreOrder__Subset__None,0.6322,0.02529999999999999
CHD_49,PartialAbstention,f1_pa,0.0,PartialOrder__Subset__None,0.679,PreOrder__Subset__2,0.6189,0.06010000000000004
CHD_49,PartialAbstention,f1_pa,0.1,PartialOrder__Subset__None,0.6635,PreOrder__Subset__2,0.5955,0.06799999999999995
CHD_49,PartialAbstention,f1_pa,0.2,PartialOrder__Hamming__None,0.6569,PreOrder__Subset__2,0.5813,0.0756
CHD_49,PartialAbstention,f1_pa,0.3,PreOrder__Hamming__None,0.607,PreOrder__Subset__2,0.5318,0.07519999999999993
CHD_49,PartialAbstention,subset0_1_pa,0.0,PartialOrder__Subset__2,0.2468,PreOrder__Subset__2,0.155,0.09179999999999999
CHD_49,PartialAbstention,subset0_1_pa,0.1,PartialOrder__Hamming__2,0.2537,PreOrder__Subset__2,0.1379,0.11579999999999999
CHD_49,PartialAbstention,subset0_1_pa,0.2,PartialOrder__Hamming__2,0.246,PreOrder__Subset__2,0.1234,0.1226
CHD_49,PartialAbstention,subset0_1_pa,0.3,PartialOrder__Subset__None,0.2328,PreOrder__Hamming__None,0.0723,0.1605
CHD_49,PartialAbstention,arec,0.0,PartialOrder__Hamming__None,0.7357,PreOrder__Subset__2,0.7063,0.02939999999999998
CHD_49,PartialAbstention,arec,0.1,PartialOrder__Subset__2,0.7428,PreOrder__Subset__2,0.6926,0.05020000000000002
CHD_49,PartialAbstention,arec,0.2,PartialOrder__Hamming__2,0.7626,PreOrder__Subset__None,0.6794,0.08319999999999994
CHD_49,PartialAbstention,arec,0.3,PartialOrder__Hamming__None,0.7722,PreOrder__Subset__None,0.6413,0.13090000000000002
CHD_49,PartialAbstention,aabs,0.0,PartialOrder__Subset__None,0.0502,PreOrder__Hamming__2,0.0021,0.048100000000000004
CHD_49,PartialAbstention,aabs,0.1,PartialOrder__Hamming__2,0.0989,PreOrder__Hamming__2,0.0053,0.0936
CHD_49,PartialAbstention,aabs,0.2,PartialOrder__Hamming__2,0.1949,PreOrder__Hamming__2,0.0065,0.18839999999999998
CHD_49,PartialAbstention,aabs,0.3,PartialOrder__Subset__2,0.3375,PreOrder__Subset__2,0.0201,0.3174
emotions,PartialAbstention,hamming_accuracy_pa,0.0,PartialOrder__Subset__2,0.8152,PreOrder__Hamming__None,0.8043,0.01090000000000002
emotions,PartialAbstention,hamming_accuracy_pa,0.1,PartialOrder__Hamming__2,0.8207,PreOrder__Hamming__None,0.8012,0.019499999999999962
emotions,PartialAbstention,hamming_accuracy_pa,0.2,PartialOrder__Hamming__2,0.8084,PreOrder__Hamming__None,0.7732,0.03520000000000001
emotions,PartialAbstention,hamming_accuracy_pa,0.3,PartialOrder__Hamming__2,0.7527,PreOrder__Subset__None,0.7029,0.049800000000000066
emotions,PartialAbstention,f1_pa,0.0,PartialOrder__Subset__2,0.6935,PreOrder__Subset__2,0.6693,0.0242
emotions,PartialAbstention,f1_pa,0.1,PartialOrder__Hamming__2,0.7085,PreOrder__Subset__2,0.6644,0.04410000000000003
emotions,PartialAbstention,f1_pa,0.2,PartialOrder__Hamming__2,0.6934,PreOrder__Subset__2,0.6441,0.04930000000000001
emotions,PartialAbstention,f1_pa,0.3,PartialOrder__Hamming__None,0.6325,PreOrder__Subset__2,0.608,0.024499999999999966
emotions,PartialAbstention,subset0_1_pa,0.0,PartialOrder__Subset__2,0.3895,PreOrder__Hamming__None,0.3474,0.042100000000000026
