proposed,baseline,wins,ties,losses,n,ptype,metric,noise
PartialOrder__Subset__None,cc,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Subset__None,clr,6,0,2,8,BinaryVector,example_precision,0.1
PreOrder__Hamming__2,br,6,0,2,8,BinaryVector,example_precision,0.1
PreOrder__Hamming__2,cc,7,0,1,8,BinaryVector,example_precision,0.1
PreOrder__Hamming__2,clr,6,0,2,8,BinaryVector,example_precision,0.1
PreOrder__Hamming__None,br,5,0,3,8,BinaryVector,example_precision,0.1
PreOrder__Hamming__None,cc,4,0,4,8,BinaryVector,example_precision,0.1
PreOrder__Hamming__None,clr,6,0,2,8,BinaryVector,example_precision,0.1
PreOrder__Subset__2,br,8,0,0,8,BinaryVector,example_precision,0.1
PreOrder__Subset__2,cc,8,0,0,8,BinaryVector,example_precision,0.1
PreOrder__Subset__2,clr,6,0,2,8,BinaryVector,example_precision,0.1
PreOrder__Subset__None,br,5,0,3,8,BinaryVector,example_precision,0.1
PreOrder__Subset__None,cc,4,0,4,8,BinaryVector,example_precision,0.1
PreOrder__Subset__None,clr,6,0,2,8,BinaryVector,example_precision,0.1
ecc,br,4,0,4,8,BinaryVector,example_precision,0.1
ecc,cc,4,0,4,8,BinaryVector,example_precision,0.1
ecc,clr,6,0,2,8,BinaryVector,example_precision,0.1
lp,br,5,0,3,8,BinaryVector,example_precision,0.1
lp,cc,5,0,3,8,BinaryVector,example_precision,0.1
lp,clr,6,0,2,8,BinaryVector,example_precision,0.1
mlknn,br,5,0,3,8,BinaryVector,example_precision,0.1
mlknn,cc,5,0,3,8,BinaryVector,example_precision,0.1
mlknn,clr,6,0,2,8,BinaryVector,example_precision,0.1
PartialOrder__Hamming__2,br,1,0,7,8,BinaryVector,example_precision,0.2
PartialOrder__Hamming__2,cc,1,0,7,8,BinaryVector,example_precision,0.2
PartialOrder__Hamming__2,clr,6,0,2,8,BinaryVector,example_precision,0.2
PartialOrder__Hamming__None,br,1,0,7,8,BinaryVector,example_precision,0.2
PartialOrder__Hamming__None,cc,1,0,7,8,BinaryVector,example_precision,0.2
PartialOrder__Hamming__None,clr,6,0,2,8,BinaryVector,example_precision,0.2
PartialOrder__Subset__2,br,1,0,7,8,BinaryVector,example_precision,0.2
PartialOrder__Subset__2,cc,1,0,7,8,BinaryVector,example_precision,0.2
PartialOrder__Subset__2,clr,6,0,2,8,BinaryVector,example_precision,0.2
